"","popiska","pred_nominaci_pc","po_nominaci_pc","po_vyhlaseni_pc"
"127","2001: The Lord of the Rings: The Fellowship of the Ring",86.6943203573708,8.26419910657307,5.04148053605616
"128","2011: War Horse",90.8181135851889,8.13109832374281,1.0507880910683
"129","2003: Master and Commander: The Far Side of the World",90.8413205537806,7.66773162939297,1.49094781682641
"130","2006: The Departed",92.0078561716271,7.55401117993655,0.43813264843632
"131","1992: Unforgiven",74.4071146245059,7.5098814229249,18.0830039525692
"132","1995: Babe",91.4088267629967,7.22475263075231,1.36642060625098
"133","1998: Saving Private Ryan",90.0230946882217,7.06697459584295,2.90993071593533
"134","2003: The Lord of the Rings: The Return of the King",89.7347480106101,6.84350132625995,3.42175066312997
"135","1984: Places in the Heart",89.6551724137931,6.60919540229885,3.73563218390805
"136","1983: The Big Chill",93.1181269953884,6.56261085491309,0.319262149698475
"137","1999: The Insider",91.3775334936448,6.52696667811749,2.09549982823772
"138","1990: Goodfellas",87.6068376068376,6.1965811965812,6.1965811965812
"139","1987: Fatal Attraction",90.8684546615581,5.93869731800766,3.19284802043423
"140","1994: Forrest Gump",91.1737943585077,5.1258720048529,3.70033363663937
"141","2013: Gravity",95.1038575667656,4.89614243323442,0
"142","2009: The Blind Side",93.0441578741696,4.80656506447831,2.14927706135209
"143","1990: The Godfather Part III",93.7593759375938,4.8004800480048,1.44014401440144
"144","2009: Precious: Based on the Novel ""Push"" by Sapphire",95.6485179735127,3.99411393735548,0.357368089131806
"145","1999: The Sixth Sense",94.855195911414,4.05451448040886,1.09028960817717
"146","2002: The Lord of the Rings: The Two Towers",94.496762801648,4.03178340200118,1.47145379635079
"147","2010: Winter's Bone",96.0365853658536,3.50609756097561,0.457317073170732
"148","1982: E.T.: The Extra-Terrestrial",91.7037861915367,3.53563474387528,4.76057906458797
"149","2004: Ray",97.0139349701393,2.6542800265428,0.33178500331785
"150","1993: The Fugitive",97.5583229104356,2.39273478710098,0.0489423024634292
"151","1984: A Soldier's Story",97.985347985348,2.01465201465201,0
"152","2013: Captain Phillips",98.2242990654206,1.77570093457944,0
"153","2010: The Social Network",98.4113884877244,1.54734887559315,0.041262636682484
"154","1990: Ghost",98.1617647058823,1.33272058823529,0.505514705882353
"155","1996: Fargo",97.8481526593585,0.730816077953715,1.42103126268778
"156","2011: Midnight in Paris",99.348247313722,0.475603311608244,0.17614937466972
"157","2006: Little Miss Sunshine",99.4991652754591,0.400667779632721,0.10016694490818
"158","2001: Moulin Rouge!",99.5640802092415,0.36617262423714,0.0697471665213601
"159","2000: Gladiator",99.4139584443261,0.138518913159297,0.447522642514651
"160","2011: Moneyball",99.9073706497287,0.0926293502712717,0
"161","2011: The Help",99.9410724808486,0.0530347672362994,0.00589275191514437
"162","2003: Seabiscuit",99.95841995842,0.0415800415800416,0
"163","2010: Toy Story 3",100,0,0
"164","1991: The Silence of the Lambs",100,0,0
"165","2009: Inglourious Basterds",100,0,0
"166","2010: The Kids Are All Right",100,0,0
"167","1985: Prizzi's Honor",100,0,0
"168","2009: District 9",100,0,0
"169","1982: Missing",100,0,0
"170","2010: Inception",100,0,0
"171","1985: Witness",100,0,0
"172","2009: A Serious Man",100,0,0
"173","2005: Crash",97.8021978021978,0,2.1978021978022
"174","2009: Up",100,0,0
"175","2000: Erin Brockovich",100,0,0
"176","1989: Dead Poets Society",100,0,0
"177","1983: Tender Mercies",100,0,0
"178","2011: The Tree of Life",100,0,0
"179","1995: Apollo 13",100,0,0
"180","1989: Field of Dreams",100,0,0
"181","1986: Hannah and Her Sisters",100,0,0
"182","1994: Four Weddings and a Funeral",100,0,0
